Experiment1	System1	System2	System3	System4	System5
Entity1	5.0	4.0	1.0	14.0	15.0
Entity2	2.0	2.0	5.0	22.0	55.0
Entity3	9.0	9.0	11.0	15.0	49.0
Entity4	10.5	11.0	22.0	37.0	98.0
Entity5	10.5	10.0	40.0	41.0	46.0
Entity6	1004.0	1005.0	1501.0	1489.0	1231.0
Entity7	1814.5	1852.0	2005.0	2102.0	998.0
Entity8	2785.0	2784.0	4098.0	3789.0	6345.0
Entity9	1100.0	1100.0	3485.0	1557.0	1209.0
Entity10	3779.5	3779.5	4012.0	1543.0	4187.0
Entity11	277.0	280.0	116.0	56.0	74.0
Entity12	1100.0	1100.0	897.0	1004.0	1089.0
Entity13	3779.5	3779.5	3591.0	3465.0	3578.0
Entity14	4683.0	4683.0	5173.0	4937.0	4879.0
